4K超高清,#genre#
广东卫视高清,http://920425.xyz:7788/udp/239.253.240.90:8000#http://920425.xyz:7788/udp/239.253.240.39:8000
黑龙江卫视高清,http://920425.xyz:7788/udp/239.253.240.93:8000#http://920425.xyz:7788/udp/239.253.240.37:8000
贵州卫视高清,http://920425.xyz:7788/udp/239.253.240.113:8000#http://920425.xyz:7788/udp/239.253.240.51:8000
河北卫视高清,http://920425.xyz:7788/udp/239.253.240.112:8000#http://920425.xyz:7788/udp/239.253.240.43:8000
重庆卫视高清,http://920425.xyz:7788/udp/239.253.240.38:8000
海南卫视高清,http://920425.xyz:7788/udp/239.253.240.179:8000#http://920425.xyz:7788/udp/239.253.240.35:8000
四川卫视高清,http://920425.xyz:7788/udp/239.253.240.180:8000#http://920425.xyz:7788/udp/239.253.240.50:8000
山西卫视,http://920425.xyz:7788/udp/239.253.240.48:8000
河南卫视高清,http://920425.xyz:7788/udp/239.253.240.190:8000#http://920425.xyz:7788/udp/239.253.240.44:8000
江西卫视高清,http://920425.xyz:7788/udp/239.253.240.47:8000
广西卫视高清,http://920425.xyz:7788/udp/239.253.240.197:8000
吉林卫视高清,http://920425.xyz:7788/udp/239.253.240.173:8000#http://920425.xyz:7788/udp/239.253.240.46:8000
云南卫视高清,http://920425.xyz:7788/udp/239.253.240.196:8000
陕西卫视,http://920425.xyz:7788/udp/239.253.240.49:8000
内蒙古卫视,http://920425.xyz:7788/udp/239.253.240.58:8000
宁夏卫视,http://920425.xyz:7788/udp/239.253.240.53:8000
新疆卫视,http://920425.xyz:7788/udp/239.253.240.60:8000
甘肃卫视高清,http://920425.xyz:7788/udp/239.253.240.74:8000#http://920425.xyz:7788/udp/239.253.240.52:8000
青海卫视高清,http://920425.xyz:7788/udp/239.253.240.195:8000#http://920425.xyz:7788/udp/239.253.240.54:8000
西藏卫视,http://920425.xyz:7788/udp/239.253.240.56:8000
兵团卫视,http://920425.xyz:7788/udp/239.253.240.57:8000
农林卫视,http://920425.xyz:7788/udp/239.253.240.70:8000
厦门卫视,http://920425.xyz:7788/udp/239.253.240.106:8000
延边卫视,http://920425.xyz:7788/udp/239.253.240.121:8000
三沙卫视,http://920425.xyz:7788/udp/239.253.240.171:8000
宁夏卫视高清,http://920425.xyz:7788/udp/239.253.240.150:8000
少儿频道,#genre#
金鹰卡通高清,http://920425.xyz:7788/udp/239.253.240.117:8000#http://920425.xyz:7788/udp/239.253.240.134:8000
金鹰纪实高清,http://920425.xyz:7788/udp/239.253.240.103:8000
KAKU少儿,http://920425.xyz:7788/udp/239.253.240.66:8000
优漫卡通,http://920425.xyz:7788/udp/239.253.240.64:8000
哈哈炫动,http://920425.xyz:7788/udp/239.253.240.63:8000
新动漫,http://920425.xyz:7788/udp/239.253.240.157:8000#http://920425.xyz:7788/udp/239.253.240.149:8000
动漫秀场高清,http://920425.xyz:7788/udp/239.253.240.115:8000
嘉佳卡通,http://920425.xyz:7788/udp/239.253.240.65:8000
少儿动画,http://920425.xyz:7788/udp/239.253.240.127:8000
动画,http://920425.xyz:7788/udp/239.253.240.229:8000
优优宝贝标清,http://920425.xyz:7788/udp/239.253.240.72:8000
北京纪实科教,http://920425.xyz:7788/udp/239.253.240.165:8000
影视剧场,#genre#
CHC家庭影院高清,http://920425.xyz:7788/udp/239.253.240.152:8000
CHC动作电影高清,http://920425.xyz:7788/udp/239.253.240.153:8000
CHC影迷电影,http://920425.xyz:7788/udp/239.253.240.154:8000
重温经典,http://920425.xyz:7788/udp/239.253.240.81:8000
谍战剧场,http://920425.xyz:7788/udp/239.253.240.135:8000
都市剧场,http://920425.xyz:7788/udp/239.253.240.98:8000#http://920425.xyz:7788/udp/239.253.240.178:8000
精彩影视高清,http://920425.xyz:7788/udp/239.253.240.142:8000
城市剧场,http://920425.xyz:7788/udp/239.253.240.201:8000
古装剧场,http://920425.xyz:7788/udp/239.253.240.205:8000
家庭影院,http://920425.xyz:7788/udp/239.253.240.218:8000
喜剧影院,http://920425.xyz:7788/udp/239.253.240.220:8000
动作影院,http://920425.xyz:7788/udp/239.253.240.221:8000
经典电影,http://920425.xyz:7788/udp/239.253.240.126:8000
爱电影,http://920425.xyz:7788/udp/239.253.240.128:8000
爱大剧,http://920425.xyz:7788/udp/239.253.240.132:8000
经典剧场,http://920425.xyz:7788/udp/239.253.240.211:8000
武侠剧场,http://920425.xyz:7788/udp/239.253.240.212:8000
热播剧场,http://920425.xyz:7788/udp/239.253.240.125:8000
星影,http://920425.xyz:7788/udp/239.253.240.216:8000
军旅剧场,http://920425.xyz:7788/udp/239.253.240.203:8000
精选,http://920425.xyz:7788/udp/239.253.240.210:8000
光影,http://920425.xyz:7788/udp/239.253.240.223:8000
娱乐频道,#genre#
CETV1,http://920425.xyz:7788/udp/239.253.240.110:8000#http://920425.xyz:7788/udp/239.253.240.55:8000
CETV2,http://920425.xyz:7788/udp/239.253.240.107:8000
CETV4,http://920425.xyz:7788/udp/239.253.240.116:8000
爱体育高清,http://920425.xyz:7788/udp/239.253.240.109:8000
爱上4K测试体验,http://920425.xyz:7788/udp/239.253.240.102:8000
中国交通,http://920425.xyz:7788/udp/239.253.240.177:8000
发现之旅,http://920425.xyz:7788/udp/239.253.240.162:8000
中学生,http://920425.xyz:7788/udp/239.253.240.163:8000
老故事,http://920425.xyz:7788/udp/239.253.240.164:8000
先锋乒羽,http://920425.xyz:7788/udp/239.253.240.155:8000#http://920425.xyz:7788/udp/239.253.240.145:8000
魅力足球高清,http://920425.xyz:7788/udp/239.253.240.100:8000
生活时尚高清,http://920425.xyz:7788/udp/239.253.240.99:8000
乐游高清,http://920425.xyz:7788/udp/239.253.240.97:8000
法治天地高清,http://920425.xyz:7788/udp/239.253.240.96:8000
游戏风云高清,http://920425.xyz:7788/udp/239.253.240.95:8000
东方财经高清,http://920425.xyz:7788/udp/239.253.240.94:8000
梨园高清,http://920425.xyz:7788/udp/239.253.240.139:8000
武术世界高清,http://920425.xyz:7788/udp/239.253.240.140:8000
文物宝库高清,http://920425.xyz:7788/udp/239.253.240.141:8000
茶高清,http://920425.xyz:7788/udp/239.253.240.143:8000
快乐垂钓高清,http://920425.xyz:7788/udp/239.253.240.144:8000
书画标清,http://920425.xyz:7788/udp/239.253.240.146:8000
家庭理财标清,http://920425.xyz:7788/udp/239.253.240.148:8000
音乐现场,http://920425.xyz:7788/udp/239.253.240.202:8000
足球,http://920425.xyz:7788/udp/239.253.240.204:8000
军事,http://920425.xyz:7788/udp/239.253.240.207:8000
